'Time (s)','Null_1.1','Null_1.2','Null_1.3','Null_2.1','Null_2.2','Null_2.3','Null_3.1','Null_3.2','Null_3.3','Tox_1.1','Tox_1.2','Tox_1.3','Tox_2.1','Tox_2.2','Tox_2.3','Tox_3.1','Tox_3.2','Tox_3.3','L+tox_1.1','L+tox_1.2','L+tox_1.3','L+tox_2.1','L+tox_2.2','L+tox_2.3','L+tox_3.1','L+tox_3.2','L+tox_3.3','K+tox_1.1','K+tox_1.2','K+tox_1.3','K+tox_2.1','K+tox_2.2','K+tox_2.3','K+tox_3.1','K+tox_3.2','K+tox_3.3'
0,0.135399997,0.143299997,0.139500007,0.113200001,0.114399999,0.116400003,0.113799997,0.1118,0.114699997,0.119099997,0.115999997,0.122000001,0.125699997,0.122100003,0.125300005,0.144800007,0.140699998,0.145999998,0.146500006,0.145899996,0.144099995,0.127800003,0.128299996,0.133900002,0.127800003,0.131600007,0.127900004,0.134200007,0.140000001,0.141299993,0.133499995,0.1285,0.125400007,0.1131,0.114200003,0.115400001
27.5,0.134299994,0.143000007,0.139599994,0.111699998,0.113300003,0.114500001,0.112800002,0.111100003,0.114200003,0.129999995,0.127599999,0.132300004,0.133000001,0.131099999,0.134200007,0.156800002,0.153500006,0.158099994,0.160099998,0.158600003,0.158299997,0.141299993,0.141599998,0.147499993,0.136299998,0.140400007,0.136399999,0.143399999,0.148599997,0.150299996,0.137199998,0.132599995,0.129999995,0.116700001,0.117200002,0.118299998
55.1,0.133900002,0.142100006,0.138300002,0.1118,0.112199999,0.113799997,0.112499997,0.1109,0.114200003,0.142199993,0.139899999,0.145500004,0.142299995,0.140699998,0.142499998,0.169799998,0.1664,0.170900002,0.172900006,0.170599997,0.171499997,0.155000001,0.154899999,0.160999998,0.144700006,0.149000004,0.144700006,0.153200001,0.158000007,0.160400003,0.141200006,0.137799993,0.1347,0.118699998,0.119999997,0.120700002
82.6,0.1338,0.141800001,0.137099996,0.111699998,0.112000003,0.113899998,0.113300003,0.111599997,0.114,0.155000001,0.151800007,0.157800004,0.152199998,0.151099995,0.152400002,0.182400003,0.179399997,0.184,0.186299995,0.182699993,0.184,0.169300005,0.168699995,0.174899995,0.153899997,0.158299997,0.153200001,0.162499994,0.165999994,0.169699997,0.1461,0.143600002,0.139699996,0.1219,0.123599999,0.124200001
110.1,0.133399993,0.141800001,0.137400001,0.111100003,0.111599997,0.113600001,0.112899996,0.111000001,0.114200003,0.167099997,0.163900003,0.169699997,0.161400005,0.160300002,0.161500007,0.194900006,0.192300007,0.1972,0.199100003,0.195600003,0.197600007,0.1822,0.181400001,0.187099993,0.163100004,0.167999998,0.162300006,0.172399998,0.176300004,0.180199996,0.151299998,0.147499993,0.144199997,0.126200005,0.127900004,0.128199995
137.6,0.133499995,0.141299993,0.1382,0.112199999,0.113600001,0.114799999,0.112300001,0.1109,0.113899998,0.179000005,0.175799996,0.181899995,0.171700001,0.171800002,0.172099993,0.206900001,0.203500003,0.208399996,0.211799994,0.207800001,0.210199997,0.196199998,0.195199996,0.200599998,0.170900002,0.175999999,0.1699,0.181500003,0.185200006,0.189700007,0.155300006,0.153300002,0.149599999,0.127900004,0.130199999,0.130500004
165.2,0.133399993,0.141299993,0.137600005,0.111599997,0.112400003,0.113700002,0.112099998,0.110699996,0.113899998,0.190300003,0.187399998,0.193599999,0.180899993,0.180199996,0.180899993,0.218899995,0.215399995,0.220200002,0.225099996,0.220200002,0.222800002,0.209000006,0.207200006,0.213599995,0.179499999,0.184799999,0.177900001,0.190500006,0.193800002,0.199599996,0.160500005,0.158099994,0.153799996,0.131500006,0.133499995,0.134000003
192.7,0.134000003,0.141100004,0.137700006,0.111900002,0.112199999,0.113700002,0.112599999,0.111100003,0.114500001,0.201199993,0.198400006,0.2051,0.190500006,0.189500004,0.189999998,0.231299996,0.228,0.232700005,0.236499995,0.2324,0.235300004,0.221799999,0.219500005,0.225400001,0.188500002,0.193599999,0.186299995,0.199900001,0.203099996,0.209299996,0.164700001,0.162300006,0.158399999,0.134900004,0.137099996,0.137799993
220.2,0.133599997,0.140400007,0.137600005,0.110799998,0.111599997,0.113499999,0.112099998,0.1105,0.113700002,0.211600006,0.209099993,0.215900004,0.199000001,0.199300006,0.198300004,0.242200002,0.238800004,0.243200004,0.248600006,0.243200004,0.247899994,0.233700007,0.231099993,0.236900002,0.195800006,0.201900005,0.193800002,0.208700001,0.210999995,0.217999995,0.169400007,0.166899994,0.162699997,0.1373,0.139699996,0.140100002
247.8,0.1338,0.140799999,0.137500003,0.111400001,0.112099998,0.114,0.112499997,0.110799998,0.114399999,0.221699998,0.219400004,0.226699993,0.209099993,0.207699999,0.207300007,0.253600001,0.249699995,0.254400015,0.25999999,0.253899992,0.258300006,0.245800003,0.243000001,0.248999998,0.204500005,0.2095,0.201700002,0.217700005,0.219999999,0.227200001,0.174199998,0.171499997,0.167699993,0.140799999,0.143299997,0.1435
