'Time (s)','Null_1.1','Null_1.2','Null_1.3','Null_2.1','Null_2.2','Null_2.3','Null_3.1','Null_3.2','Null_3.3','Tox_1.1','Tox_1.2','Tox_1.3','Tox_2.1','Tox_2.2','Tox_2.3','Tox_3.1','Tox_3.2','Tox_3.3','L+tox_1.1','L+tox_1.2','L+tox_1.3','L+tox_2.1','L+tox_2.2','L+tox_2.3','L+tox_3.1','L+tox_3.2','L+tox_3.3','K+tox_1.1','K+tox_1.2','K+tox_1.3','K+tox_2.1','K+tox_2.2','K+tox_2.3','K+tox_3.1','K+tox_3.2','K+tox_3.3'
0,0.0964,0.101000004,0.105300002,0.101599999,0.105300002,0.104999997,0.1061,0.105999999,0.103600003,0.087899998,0.090400003,0.090800002,0.110399999,0.120499998,0.116700001,0.121100001,0.114500001,0.107500002,0.098200001,0.108900003,0.099299997,0.108000003,0.1043,0.117299996,0.104400001,0.101000004,0.113399997,0.101899996,0.101800002,0.1043,0.111100003,0.113399997,0.109700002,0.103,0.099799998,0.0999
27.6,0.102600001,0.107699998,0.108099997,0.100500003,0.105899997,0.104599997,0.105899997,0.108400002,0.107799999,0.090899996,0.095299996,0.095399998,0.112000003,0.115099996,0.1118,0.121200003,0.125,0.119400002,0.102399997,0.113799997,0.101499997,0.1087,0.102399997,0.113899998,0.1087,0.104500003,0.112000003,0.104199998,0.108199999,0.1052,0.111000001,0.112400003,0.109099999,0.101899996,0.0986,0.097800002
55.2,0.108999997,0.114299998,0.113700002,0.103500001,0.107100002,0.105400003,0.109899998,0.108400002,0.1087,0.094099998,0.096199997,0.097199999,0.114100002,0.114200003,0.116700001,0.125499994,0.123199999,0.124700002,0.108000003,0.112800002,0.109099999,0.110699996,0.107000001,0.114799999,0.111400001,0.1065,0.1105,0.106600001,0.112199999,0.107799999,0.112999998,0.111199997,0.111299999,0.103600003,0.101599999,0.101199999
82.7,0.112300001,0.1131,0.1153,0.103500001,0.107600003,0.103200004,0.107199997,0.105400003,0.106299996,0.096799999,0.096100003,0.095399998,0.1127,0.113600001,0.113399997,0.124799997,0.122100003,0.1294,0.111900002,0.113399997,0.112800002,0.112800002,0.107799999,0.116300002,0.113399997,0.107299998,0.112599999,0.109800003,0.112800002,0.109499998,0.114200003,0.1131,0.112999998,0.104900002,0.101899996,0.101999998
110.3,0.114100002,0.115000002,0.114500001,0.103799999,0.107500002,0.103600003,0.109700002,0.108099997,0.109999999,0.097999997,0.096100003,0.096199997,0.113200001,0.116099998,0.1162,0.129199997,0.1228,0.128399998,0.112499997,0.114100002,0.112999998,0.114399999,0.109200001,0.1171,0.116300002,0.108900003,0.114,0.111900002,0.113600001,0.111699998,0.1149,0.114500001,0.112800002,0.107000001,0.103799999,0.103799999
137.9,0.115500003,0.114699997,0.116300002,0.105099998,0.107799999,0.105300002,0.111100003,0.108599998,0.110299997,0.097199999,0.097400002,0.098899998,0.112800002,0.115199998,0.116999999,0.129800007,0.123599999,0.127800003,0.114,0.116800003,0.116099998,0.115500003,0.109999999,0.117799997,0.117299996,0.108800001,0.113899998,0.112499997,0.113600001,0.113200001,0.115199998,0.115500003,0.112499997,0.105999999,0.103200004,0.102700002
165.5,0.116300002,0.114299998,0.116800003,0.105400003,0.107299998,0.105499998,0.110100001,0.106200002,0.1087,0.098999999,0.098300003,0.098200001,0.111599997,0.113200001,0.115800001,0.128199995,0.1259,0.128099993,0.1162,0.116999999,0.118600003,0.1153,0.109499998,0.117200002,0.117600001,0.109700002,0.113399997,0.116300002,0.1153,0.115599997,0.115199998,0.115199998,0.112300001,0.105999999,0.103100002,0.102700002
193,0.117399998,0.114200003,0.117299996,0.104800001,0.108099997,0.105400003,0.109399997,0.105999999,0.109499998,0.099100001,0.098999999,0.098800004,0.111699998,0.1127,0.114500001,0.127700001,0.125699997,0.127200007,0.116700001,0.117899999,0.118299998,0.116099998,0.110699996,0.116700001,0.118900001,0.109800003,0.114200003,0.116099998,0.116800003,0.115599997,0.115000002,0.115099996,0.1127,0.1061,0.102899998,0.103299998
220.6,0.1197,0.115800001,0.116700001,0.1065,0.108599998,0.105700001,0.108900003,0.106200002,0.109899998,0.098099999,0.099600002,0.0995,0.112300001,0.114,0.115400001,0.130500004,0.126699999,0.126100004,0.119000003,0.119000003,0.120899998,0.116400003,0.1109,0.116800003,0.120399997,0.110699996,0.114699997,0.1162,0.1171,0.117600001,0.115900002,0.115500003,0.113600001,0.107000001,0.103799999,0.103699997
248.1,0.1184,0.115199998,0.118299998,0.105800003,0.108499996,0.106299996,0.109099999,0.105599999,0.108499996,0.100400001,0.100000001,0.0999,0.113200001,0.113200001,0.115599997,0.131999999,0.126100004,0.128700003,0.121100001,0.119900003,0.121699996,0.116499998,0.1109,0.116800003,0.120899998,0.111699998,0.115800001,0.117700003,0.118199997,0.118100002,0.115900002,0.115699999,0.113300003,0.106899999,0.103699997,0.103699997
275.7,0.1197,0.117399998,0.120700002,0.104800001,0.1083,0.106600001,0.1105,0.106700003,0.109700002,0.100100003,0.100400001,0.100100003,0.112800002,0.113499999,0.116800003,0.131500006,0.127900004,0.128900006,0.123000003,0.119999997,0.123400003,0.117700003,0.111400001,0.1175,0.121299997,0.111699998,0.116700001,0.115999997,0.118299998,0.118000001,0.116499998,0.116800003,0.114500001,0.107900001,0.104800001,0.104599997
303.3,0.120499998,0.118799999,0.120800003,0.104000002,0.107699998,0.1065,0.110100001,0.1065,0.109300002,0.099600002,0.100000001,0.100500003,0.1127,0.113499999,0.115500003,0.131899998,0.129299998,0.126699999,0.122400001,0.120700002,0.122900002,0.118100002,0.111599997,0.117700003,0.121399999,0.111900002,0.1171,0.118100002,0.117399998,0.119099997,0.116700001,0.117399998,0.114600003,0.107699998,0.104599997,0.104400001
330.8,0.119999997,0.119599998,0.121200003,0.104699999,0.108400002,0.106299996,0.110799998,0.107199997,0.1096,0.100699998,0.101499997,0.101099998,0.113200001,0.114100002,0.115500003,0.132400006,0.1294,0.127499998,0.124499999,0.120999999,0.124300003,0.1184,0.111400001,0.1175,0.121799998,0.112400003,0.117299996,0.1184,0.1193,0.119199999,0.116300002,0.116599999,0.114200003,0.107799999,0.104599997,0.104599997
358.4,0.1193,0.120300002,0.121200003,0.104199998,0.108199999,0.107000001,0.110200003,0.1065,0.109200001,0.1008,0.100299999,0.101000004,0.112999998,0.114,0.114399999,0.133599997,0.129700005,0.128999993,0.124399997,0.122699998,0.124899998,0.118900001,0.112000003,0.118000001,0.122199997,0.113200001,0.117399998,0.117899999,0.118799999,0.119099997,0.1162,0.1162,0.114500001,0.108000003,0.104800001,0.104699999
385.9,0.120999999,0.121799998,0.1237,0.104599997,0.108499996,0.106899999,0.110699996,0.107199997,0.109099999,0.100400001,0.101499997,0.101199999,0.113300003,0.113200001,0.115699999,0.133699998,0.129299998,0.130700007,0.125499994,0.122100003,0.126499996,0.119499996,0.112000003,0.118199997,0.121799998,0.113200001,0.1175,0.118500002,0.119900003,0.120200001,0.116499998,0.116499998,0.1149,0.108099997,0.104999997,0.104599997
